wl,orient_000,orient_010,orient_020,orient_030,orient_040,orient_050,orient_060,orient_070,orient_080,orient_090,orient_100,orient_110,orient_120,orient_130,orient_140,orient_150,orient_160,orient_170,orient_180
362,5.127982454,5.042449956,4.840889484,4.644884181,4.168113542,2.67972478,2.177738238,1.413917017,1.288977095,1.18442003,1.112947384,1.040377103,0.989371404,0.922527944,0.870446364,0.864443176,0.808179922,0.871872254,0.822875878
363,5.338462528,5.241145692,5.023958406,4.816304224,4.344037539,2.769587553,2.249183868,1.452391841,1.324755861,1.229252863,1.160094999,1.076405395,1.024487377,0.953071983,0.909904643,0.899337364,0.832053044,0.903848989,0.842373554
364,5.55042523,5.437078134,5.228039537,5.019757587,4.520033767,2.875511184,2.333924684,1.493163575,1.359637935,1.263760114,1.206207916,1.102015785,1.062331035,0.980842467,0.936345228,0.928453368,0.861804231,0.921733373,0.870494912
365,5.868693534,5.75967794,5.524605311,5.29809919,4.778117354,3.055040846,2.464771764,1.585990213,1.424050867,1.331617506,1.260736172,1.158572581,1.136413151,1.019635817,0.997563267,0.965073628,0.918380308,0.968899081,0.913845341
366,6.102604211,5.986084137,5.774505889,5.513233499,4.953581153,3.176712489,2.546811339,1.640453949,1.485174521,1.393247498,1.309173975,1.212614242,1.181434609,1.064590394,1.046794088,1.009027286,0.96746916,1.014396736,0.949186766
367,6.355986722,6.211438546,6.014094381,5.741659641,5.137364712,3.299098477,2.643537472,1.706511669,1.544207201,1.436556901,1.341909298,1.261589459,1.224218824,1.093142598,1.075689132,1.033927098,0.999141589,1.042499474,0.985596878
368,6.583253016,6.422595631,6.238484583,5.917050371,5.318424814,3.407373282,2.727792062,1.759711909,1.589968145,1.476310427,1.375956212,1.292723761,1.2537467,1.124309043,1.109192006,1.050563864,1.025551364,1.072182814,1.007130528
369,6.738397138,6.58904123,6.395704651,6.068905256,5.455105928,3.479321942,2.78528767,1.783751012,1.621642884,1.505975579,1.406707562,1.313701783,1.258817428,1.144367963,1.127455642,1.08484225,1.040890856,1.10561487,1.018661126
370,6.671319784,6.540656618,6.334234181,6.018593706,5.409027797,3.42995577,2.759255209,1.759796625,1.592915784,1.485600344,1.373243754,1.289511821,1.230802866,1.116468,1.10195472,1.070107136,1.005900795,1.086989336,0.997932644
371,6.679128823,6.559834657,6.330522578,6.030423778,5.413042483,3.425343558,2.756957665,1.750688874,1.57861389,1.478213769,1.356141207,1.264109718,1.212595154,1.115916351,1.093898338,1.067762252,0.995285855,1.077397764,0.985482702
372,6.566574365,6.471179729,6.218716343,5.957732588,5.329712157,3.384944394,2.709461161,1.712526434,1.546596127,1.448664932,1.333570403,1.245338423,1.187384225,1.097434833,1.070632443,1.035517881,0.978639272,1.053057943,0.960400089
373,6.274071112,6.188316475,5.937486237,5.684685469,5.063635283,3.228771699,2.576828054,1.637084403,1.464879176,1.377421364,1.266789121,1.187511037,1.131662019,1.049447311,1.021994222,0.98026513,0.930795935,0.989421134,0.91160755
374,6.05457062,5.967492374,5.719945639,5.482052497,4.884617663,3.123149776,2.47575254,1.585508057,1.407980721,1.315364519,1.220842754,1.154650633,1.097572958,1.022214702,0.985771614,0.943594796,0.907808126,0.948817515,0.885040732
375,5.94224734,5.872703494,5.648835186,5.387272383,4.811800847,3.088840159,2.444927083,1.553774199,1.386526325,1.281902749,1.201164062,1.140394441,1.087060011,0.99932128,0.969388325,0.91838853,0.891963668,0.937957257,0.882015268
376,6.14119788,6.065450763,5.843380709,5.562101351,4.955913948,3.174282503,2.512256547,1.587036473,1.423444066,1.308004496,1.228131639,1.166512099,1.115245075,1.017204967,0.987032094,0.959548233,0.919144654,0.962393451,0.907186047
377,6.560897184,6.477045022,6.240168859,5.956609118,5.315120524,3.38924211,2.678926466,1.667718409,1.514900939,1.38333856,1.301896069,1.234483002,1.188763782,1.074440532,1.044290421,1.023357276,0.979078052,1.025932878,0.956878924
378,6.958649225,6.872180521,6.635561655,6.333804562,5.647106378,3.613144682,2.835584554,1.748016078,1.603641195,1.461519927,1.371649468,1.295988752,1.258713442,1.131935646,1.110974698,1.08579816,1.042697088,1.090401521,1.014481241
379,7.234295225,7.121200798,6.861451844,6.582523886,5.856783464,3.72616018,2.911740701,1.801350727,1.646393098,1.523255401,1.427485613,1.335289717,1.30358332,1.167912852,1.15862638,1.123491952,1.08664301,1.119982232,1.042262071
380,7.329314201,7.23773186,6.958449712,6.666054209,5.962854356,3.789623509,2.942941632,1.820073145,1.667338689,1.540196254,1.448053253,1.346963325,1.316316013,1.174444934,1.178523611,1.1229468,1.091005022,1.131202969,1.052520326
