wl,orient_000,orient_010,orient_020,orient_030,orient_040,orient_050,orient_060,orient_070,orient_080,orient_090,orient_100,orient_110,orient_120,orient_130,orient_140,orient_150,orient_160,orient_170,orient_180
555,0.199580162,0.130747636,0.211686553,0.149018376,0.176114456,0.109790372,0.190121437,0.131230961,0.227451329,0.204371765,0.139270822,0.216420284,0.152298744,0.148390173,0.126713103,0.204174259,0.120990514,0.136245904,0.191677944
556,0.196601299,0.128516978,0.208180594,0.146639313,0.173245668,0.108010663,0.186958447,0.129086639,0.223701253,0.201133325,0.137139439,0.213144206,0.149972099,0.145770505,0.124707089,0.200961124,0.11912471,0.134058273,0.188580643
557,0.197359572,0.128630547,0.208885204,0.14703395,0.17371305,0.108040398,0.187358762,0.129368214,0.224248637,0.201506764,0.138104661,0.214062908,0.150474629,0.146145403,0.124916901,0.201116801,0.119381169,0.134514373,0.189120906
558,0.194640315,0.126949718,0.206026682,0.144790845,0.171362929,0.106478516,0.184679582,0.127545057,0.22129171,0.198833121,0.135587695,0.211147216,0.148086662,0.143987745,0.123284515,0.198501819,0.117844048,0.132536956,0.186617453
559,0.193023634,0.125855118,0.204252329,0.143419957,0.169778787,0.105463991,0.183238278,0.126382974,0.219465931,0.197584107,0.134914373,0.209337376,0.146888356,0.142580126,0.122017626,0.197101499,0.116926931,0.131288601,0.18509277
560,0.190357765,0.124219179,0.201473159,0.14148219,0.167735026,0.104211142,0.180725582,0.124612461,0.216651803,0.194764921,0.13229431,0.206102623,0.145211834,0.140674523,0.120315315,0.194479434,0.115548364,0.129602264,0.182664125
561,0.190111535,0.123902068,0.201087723,0.14128832,0.167401329,0.104230824,0.18040708,0.124447732,0.216612335,0.194413765,0.132065959,0.205609478,0.145014086,0.140382892,0.120035271,0.194242637,0.115351671,0.129378391,0.182411908
562,0.187425867,0.121852816,0.19790049,0.139352541,0.164968323,0.102598537,0.177510884,0.122393609,0.213452446,0.191774385,0.13062607,0.2028585,0.142739592,0.138240582,0.118147643,0.191361106,0.113706993,0.1273785,0.179533163
563,0.189352929,0.122727844,0.199929678,0.140691609,0.166461095,0.103534844,0.179157936,0.123294409,0.215611915,0.193239988,0.131590203,0.204628272,0.144005441,0.139668081,0.119437816,0.193189274,0.114720032,0.128519807,0.181291232
564,0.187849205,0.121621262,0.198658511,0.139535535,0.16500934,0.102443418,0.177847298,0.122187654,0.214084039,0.192406189,0.130864444,0.202731682,0.142626245,0.138408989,0.118518891,0.191745015,0.113558984,0.127416122,0.179967563
565,0.187456589,0.121729053,0.198501378,0.139203583,0.164769158,0.102124722,0.177589297,0.121909285,0.213726468,0.19150572,0.12989281,0.203071405,0.142387654,0.138097489,0.118540969,0.191588236,0.113392254,0.127051774,0.180033065
566,0.185578362,0.120611549,0.196690646,0.137725798,0.163047183,0.101106402,0.175637579,0.12060106,0.211808242,0.189389929,0.129354589,0.200824458,0.140780314,0.136599942,0.117304501,0.189662178,0.112119979,0.125837832,0.178391672
567,0.182746498,0.118852044,0.193611324,0.135563163,0.160484097,0.099479745,0.172742332,0.118742266,0.208419944,0.187301428,0.127380879,0.198183551,0.138774427,0.133862436,0.115276421,0.186711337,0.110219173,0.123902822,0.175347957
568,0.180144921,0.116980322,0.190747166,0.13336598,0.158154469,0.097842099,0.169735377,0.116912886,0.20511028,0.184447819,0.124750969,0.195562109,0.1370333,0.131639677,0.11324327,0.18403536,0.108539528,0.121912715,0.172714826
569,0.178505231,0.115749581,0.189252649,0.132101179,0.156715206,0.096762357,0.168006241,0.115753358,0.203106904,0.183075336,0.124030671,0.193737702,0.135143203,0.130099206,0.111935783,0.182424067,0.107232363,0.120814384,0.171024451
570,0.174614782,0.113043988,0.185352984,0.129283175,0.153344561,0.094424,0.164244634,0.113156478,0.198469277,0.178607078,0.121213977,0.189560044,0.132068839,0.127101526,0.109241212,0.178628734,0.104862096,0.118150958,0.167215127
571,0.173106253,0.111787508,0.183831451,0.127997371,0.15193153,0.093246263,0.162454553,0.111996253,0.196492975,0.177468378,0.119606336,0.18810808,0.131557318,0.125998461,0.108143166,0.177013997,0.103673809,0.116966996,0.165779133
572,0.171410466,0.110714971,0.182314582,0.126833061,0.150415493,0.092156954,0.161046294,0.110836602,0.19462824,0.175138675,0.118951815,0.186560874,0.129469723,0.124934863,0.107188566,0.17560424,0.102454926,0.115933152,0.164413456
573,0.170359662,0.109767582,0.180683557,0.126008452,0.149239008,0.091445429,0.159420155,0.109782653,0.193036011,0.174066856,0.11800937,0.185197228,0.128728621,0.123914906,0.10648233,0.174386884,0.101528451,0.115107225,0.163215691
574,0.170007557,0.109616767,0.180042414,0.125515234,0.148946505,0.091083305,0.158849528,0.109434881,0.192553924,0.173607708,0.117141009,0.184543262,0.128825539,0.123482069,0.106286145,0.174091616,0.1010854,0.114550009,0.163027761
575,0.170148539,0.109667523,0.180040625,0.125469717,0.14893106,0.091004252,0.158743595,0.109165065,0.192453461,0.17445151,0.116935668,0.184441438,0.128079112,0.123332713,0.106433299,0.174022032,0.100995407,0.114446734,0.163084995
576,0.169738031,0.10902388,0.179287609,0.124918853,0.148572956,0.090657702,0.157695283,0.108585037,0.191409018,0.173732791,0.116731072,0.183473361,0.12791723,0.12267559,0.105797747,0.173164853,0.100465429,0.113853992,0.162295026
577,0.167790777,0.107695405,0.177575804,0.123254419,0.146929034,0.089493318,0.155663297,0.107171122,0.189310257,0.171246593,0.115158642,0.18212732,0.126619507,0.12136723,0.104533095,0.171202757,0.099154061,0.112508473,0.160591676
578,0.167723276,0.107609767,0.177749816,0.123104264,0.146712314,0.089189798,0.155182137,0.107023055,0.18907832,0.171177742,0.11523077,0.181504812,0.126466349,0.121174227,0.104178387,0.171127153,0.098856098,0.112481147,0.160510859
579,0.169017889,0.10817892,0.179294915,0.123957725,0.147833382,0.089886538,0.156331746,0.107747618,0.190658596,0.172698247,0.116185163,0.183080814,0.126936879,0.122092973,0.104809151,0.172810537,0.09955852,0.113416827,0.161709982
580,0.16985591,0.108738507,0.180288544,0.124652382,0.148384046,0.090354459,0.157306954,0.108261162,0.191838317,0.173553028,0.117175716,0.184694315,0.12794543,0.122601576,0.105302532,0.173978749,0.099920873,0.1139958,0.162655306
581,0.171272878,0.109450426,0.181713653,0.125603465,0.149679578,0.090999295,0.158637609,0.10911879,0.193037029,0.175498335,0.117684213,0.185747926,0.128315534,0.123598209,0.106272171,0.175497353,0.100758883,0.114886483,0.163850522
582,0.173631999,0.110975833,0.184397245,0.12730108,0.151972035,0.092372877,0.161277047,0.110500845,0.195478489,0.177804639,0.119380467,0.18888519,0.130547102,0.12548209,0.107784617,0.178025495,0.10210535,0.116255359,0.166349216
583,0.177746178,0.113867341,0.189134023,0.130766154,0.155660665,0.094494414,0.165158801,0.113215373,0.200242064,0.182201102,0.122113028,0.193616704,0.133781477,0.128527976,0.110473188,0.182487769,0.104633593,0.11903238,0.17072215
584,0.180879934,0.115676114,0.192516528,0.132669166,0.158289347,0.096083159,0.168166415,0.114997527,0.203548852,0.184697533,0.123500552,0.196866859,0.13602255,0.13074352,0.112081444,0.185551077,0.106329001,0.120980934,0.173555167
585,0.180904407,0.115620643,0.192441916,0.132712019,0.158285982,0.096125352,0.168115169,0.11490257,0.203515977,0.184922495,0.124407261,0.197090755,0.135866259,0.130483152,0.111769559,0.185706577,0.106339194,0.120987511,0.173663322
586,0.179906651,0.114815625,0.191666628,0.132062055,0.157352773,0.095426021,0.166732011,0.114355775,0.202590592,0.183704784,0.123941155,0.19619996,0.135703296,0.129634251,0.111148863,0.184669451,0.105695308,0.120530544,0.172763573
587,0.178965009,0.113966083,0.190305903,0.130953413,0.156264136,0.094422382,0.164913577,0.113454773,0.20098267,0.18264431,0.122509258,0.195012021,0.133872481,0.12849243,0.110184929,0.183621101,0.104783897,0.119714959,0.171818726
588,0.175020498,0.111447944,0.186001288,0.128156568,0.152906498,0.092003749,0.160588323,0.110796628,0.195562697,0.178620908,0.119713168,0.189821313,0.1316197,0.124990948,0.107620214,0.179845193,0.102290384,0.117071733,0.168098563
589,0.168130145,0.107075907,0.178886281,0.123263799,0.146757849,0.088202535,0.153848851,0.106175546,0.187217851,0.172392748,0.115405464,0.183464007,0.125829075,0.119732302,0.103223449,0.172853586,0.09809302,0.112456337,0.161356279
590,0.16489661,0.104950279,0.175269686,0.120846783,0.143851182,0.086488778,0.150320083,0.103836886,0.18266805,0.168894542,0.113122976,0.17887508,0.123363719,0.116995351,0.101187001,0.169556587,0.096054515,0.110218604,0.158347443
591,0.161407419,0.102386186,0.171705214,0.117993871,0.14083883,0.084608227,0.147016357,0.101316213,0.178476714,0.164835568,0.110251341,0.176039318,0.120753748,0.114201522,0.098868974,0.165946145,0.093742974,0.107795433,0.154835954
592,0.163202689,0.103460028,0.173634061,0.119325049,0.142394014,0.085596382,0.148552869,0.102395636,0.180676407,0.166666743,0.112131495,0.177506743,0.12251155,0.115436411,0.100010548,0.167603249,0.094727151,0.108952446,0.156429845
593,0.164959636,0.104492888,0.175098231,0.120537035,0.143851165,0.086458236,0.150171847,0.103237954,0.182621012,0.168958828,0.112722296,0.179600195,0.123547776,0.116480066,0.100943493,0.169269043,0.095610987,0.110119898,0.158094132
594,0.166778898,0.105825382,0.177420185,0.121948623,0.145505541,0.087358347,0.151982577,0.10453626,0.184664028,0.171114476,0.113992724,0.181168589,0.124587595,0.118003926,0.102084283,0.171419577,0.096666961,0.111561494,0.159913975
