wl,wing,face
328.49,10.58,89.23232
328.861,13.24,94.07392
329.231,16.3,95.11296
329.601,15.74,91.73472
329.972,11.17,84.95104
330.342,14.58,88.78624
330.712,19.24,87.29568
331.082,15.14,90.08096
331.452,18.35,91.46816
331.822,9.35,86.7136
332.192,11.98,89.01472
332.562,16.58,91.20704
332.932,13.9,87.21408
333.302,18.73,96.152
333.672,15.05,99.1984
334.042,10.84,90.70112
334.412,14.94,92.98592
334.781,14.54,97.2672
335.151,13.23,96.7504
335.521,13.91,91.936
335.89,17.03,86.32192
336.26,16.26,93.704
336.63,9.22,89.94496
336.999,15.92,86.4144
337.369,11.6,93.42112
337.738,13.18,91.38656
338.108,9.86,88.80256
338.477,9.97,90.66304
338.846,8.29,94.53088
339.216,12,88.34016
339.585,13.37,95.8256
339.954,15.04,88.18784
340.323,14.86,86.69728
340.693,13.94,93.74208
341.062,11.41,89.55328
341.431,12.33,87.98656
341.8,15.21,88.26944
342.169,13.92,89.02016
342.538,13.15,84.99456
342.907,17.77,87.05632
343.276,13.49,93.27968
343.645,11.64,94.93344
344.014,13.01,90.15712
344.382,9.89,93.65504
344.751,11.39,95.81472
345.12,11.85,95.16736
345.489,11.94,90.32032
345.857,7.77,92.92064
346.226,8.82,92.81184
346.594,13.94,88.92224
346.963,10.85,88.2368
347.332,15.95,91.77824
347.7,13.69,91.85984
348.069,13.59,93.68224
348.437,10.64,89.4064
348.805,9.9,90.88064
349.174,9.34,91.5824
349.542,11.33,93.14912
349.91,10.5,95.1456
350.278,15.37,89.2704
350.647,17.04,88.63392
351.015,10.28,89.7328
351.383,11.07,85.39168
351.751,12.11,89.68928
352.119,6.67,89.94496
352.487,11.41,93.80736
352.855,13.05,88.66112
353.223,8.52,93.06752
353.591,10.89,87.37728
353.959,10.88,87.18688
354.327,13.23,92.3168
354.694,9.93,89.77632
355.062,10.98,93.47008
355.43,12.38,92.24064
355.798,12.45,86.50688
356.165,10.74,94.2208
356.533,11.58,97.96352
356.9,9.48,93.27968
357.268,12.15,93.74752
357.635,13.33,96.016
358.003,11.71,93.42656
358.37,13.36,89.33024
358.738,13.21,89.12352
359.105,11.04,89.85792
359.472,15.19,89.99936
359.84,14.61,92.29504
360.207,15.19,91.97952
360.574,9.82,91.27232
360.941,16.13,91.79456
361.308,14.7,91.1472
361.675,14.15,90.66304
362.042,14.57,94.51456
362.409,14.11,92.60512
362.776,14.75,88.98752
363.143,12.77,87.75808
363.51,14.05,86.61568
363.877,15.72,90.26592
364.244,16.04,87.30656
364.611,16.51,84.864
364.978,15.4,95.05856
365.344,12.12,88.47616
365.711,14.13,89.71104
366.078,16.56,90.50528
366.444,15.55,92.45824
366.811,18.66,91.8816
367.177,17.04,88.536
367.544,15.05,89.1616
367.91,15.19,90.64128
368.277,18.17,91.69664
368.643,16.02,91.0384
369.009,18.93,89.68928
369.376,16.18,90.77728
369.742,16.28,88.91136
370.108,17.52,87.65472
370.474,18.61,88.02464
370.841,14.92,90.66304
371.207,17.99,97.34336
371.573,14.97,88.40544
371.939,17.63,88.95488
372.305,13.34,85.77792
372.671,16.53,88.28576
373.037,15.55,88.44896
373.403,15.58,87.68736
373.769,15.13,87.97568
374.134,20.08,92.47456
374.5,18.06,87.70912
374.866,20.18,90.29856
375.232,16.97,89.48256
375.597,17.63,91.19072
375.963,17.95,90.7664
376.328,18.78,90.35296
376.694,18.04,88.73728
377.06,19.13,89.6784
377.425,18.53,90.39648
377.79,19.56,92.0448
378.156,19.02,89.33024
378.521,17.52,90.48352
378.887,19.09,88.33472
379.252,15.79,86.69184
379.617,19.31,87.37184
379.982,18.09,90.1136
380.348,19.82,91.72384
380.713,18.26,88.1824
381.078,16.4,88.9984
381.443,19.1,88.5632
381.808,18.05,93.08384
382.173,17.77,87.38816
382.538,15.43,89.1072
382.903,18.59,91.88704
383.268,20.07,92.27872
383.633,19.32,92.59968
383.997,19.31,90.62496
384.362,17.56,88.11168
384.727,19.11,86.56672
385.092,19.7,90.77728
385.456,17.86,86.1152
385.821,20.99,90.1952
386.185,18.12,88.27488
386.55,19.5,87.5024
386.914,22.47,91.61504
387.279,18.82,88.46528
387.643,18.91,89.17792
388.008,18.23,88.4
388.372,19.52,90.1408
388.736,19.46,88.65024
389.101,18.49,88.62304
389.465,17.43,87.42624
389.829,19.41,90.25504
390.193,20.69,87.18688
390.557,18.87,93.08384
390.922,20.82,88.61216
391.286,18.88,88.4
391.65,19.64,90.39648
392.014,19.28,92.48544
392.378,18.27,92.5344
392.741,18.77,89.85792
393.105,21.46,87.00736
393.469,18.89,88.52512
393.833,19.03,91.6096
394.197,19,90.32576
394.56,21.03,87.5024
394.924,17.43,86.9312
395.288,19.43,85.71264
395.651,18.07,86.51232
396.015,18.42,88.66656
396.378,17.46,88.24224
396.742,18.22,83.74336
397.105,20.63,86.18592
397.469,16.37,85.52768
397.832,18.88,90.3312
398.195,19.6,87.312
398.559,15.75,90.14624
398.922,18.78,89.2704
399.285,19.21,89.2976
399.648,16.92,88.77536
400.011,17.93,87.6656
400.374,17.34,85.5712
400.738,17.11,90.82624
401.101,15.9,87.63296
401.464,16.09,87.05088
401.826,16.41,88.06816
402.189,17.22,88.808
402.552,16.48,88.1552
402.915,15.03,89.28672
403.278,13.42,89.09088
403.641,16.68,88.84608
404.003,15.66,89.70016
404.366,18.25,88.69376
404.729,18.47,88.97664
405.091,15.46,89.73824
405.454,15.18,88.9712
405.816,14.8,92.77376
406.179,16.72,86.18592
406.541,17.25,88.4816
406.904,16.98,88.55776
407.266,19.24,89.79808
407.628,15.57,87.29568
407.991,14.27,90.09184
408.353,13.88,86.0336
408.715,13.27,90.39648
409.077,15.36,87.52416
409.439,16.45,88.23136
409.802,16.45,90.36384
410.164,14.89,87.94848
410.526,18.07,90.99488
410.888,15.15,88.62848
411.25,14.9,87.27392
411.611,14.72,87.4208
411.973,16.63,86.13696
412.335,15.61,91.00032
412.697,13.91,89.81984
413.059,15.85,88.0464
413.42,14.57,90.02112
413.782,12.07,87.22496
414.144,14.95,87.59488
414.505,13.91,89.31936
414.867,12.64,90.07552
415.228,13.96,86.75712
415.59,13.4,88.33472
415.951,13.76,88.50336
416.313,14.7,89.41728
416.674,12.85,87.07264
417.035,14.76,89.91232
417.397,15.25,90.07552
417.758,16.48,88.6992
418.119,14.09,86.89312
418.48,13.43,90.11904
418.841,14.79,90.79904
419.203,14.89,88.76448
419.564,13.56,90.85888
419.925,12.84,89.64576
420.286,14.13,87.55136
420.646,13.67,90.53248
421.007,13.72,92.93152
421.368,14.35,90.24416
421.729,14.64,91.1744
422.09,13.51,86.7952
422.451,13.39,88.61216
422.811,14.33,89.44992
423.172,13.46,86.33824
423.533,13.53,88.7808
423.893,13.57,90.2224
424.254,14.09,89.26496
424.614,13.71,86.91488
424.975,14.1,88.91136
425.335,12.58,87.94848
425.695,13.1,87.6112
426.056,10.89,87.43168
426.416,12,89.8144
426.776,13.12,86.4144
427.137,13.61,86.02816
427.497,14.67,86.9856
427.857,14.09,88.5904
428.217,13.07,88.81888
428.577,14.3,89.98848
428.937,13.06,88.35104
429.297,12.55,88.66112
429.657,11.53,88.26944
430.017,13.03,88.72096
430.377,13.1,87.73632
430.737,13.17,90.02112
431.097,14.44,87.3664
431.456,12.58,86.47968
431.816,12.58,87.18688
432.176,15.39,88.4816
432.535,13.84,88.4816
432.895,15.17,89.74368
433.255,15.35,85.78336
433.614,13.61,89.6784
433.974,13.79,88.85696
434.333,13.61,87.42624
434.692,13.4,88.9984
435.052,13.73,87.05632
435.411,15.72,88.43264
435.77,14.53,87.07808
436.13,13.56,88.66656
436.489,13.86,87.65472
436.848,14.4,85.136
437.207,13.64,87.37184
437.566,13.61,88.63936
437.925,13.36,86.90944
438.284,14.58,85.82688
438.643,15.24,86.3328
439.002,13.99,86.94208
439.361,13.95,91.3376
439.72,14.38,87.992
440.079,14.47,89.63488
440.438,16.17,89.31392
440.796,14.53,89.5424
441.155,16.38,90.62496
441.514,15.96,89.81984
441.872,12.94,89.18336
442.231,13.51,87.83424
442.589,14.81,85.14144
442.948,16.59,88.52512
443.306,14.16,85.44064
443.665,15.48,87.82336
444.023,14.91,85.8432
444.381,14.67,89.86336
444.74,14.7,87.98656
445.098,16.1,87.48608
445.456,15.3,89.39008
445.814,15.34,88.16064
446.173,16.36,89.35744
446.531,14.82,88.9712
446.889,16.13,86.8768
447.247,16.45,89.25952
447.605,15.55,88.17696
447.963,16.59,87.31744
448.321,16.96,87.81792
448.678,16.74,87.02368
449.036,17.82,85.09248
449.394,17.7,87.97568
449.752,17.44,88.1824
450.109,15.92,86.31104
450.467,16.1,89.62944
450.825,17.44,88.31296
451.182,15.5,85.80512
451.54,17.42,90.57056
451.897,16.06,87.06176
452.255,16.38,89.04192
452.612,17.69,88.16064
452.97,16.77,87.56768
453.327,17.65,87.9104
453.684,18.41,86.43072
454.042,18.29,86.39264
454.399,17.13,85.23392
454.756,17.62,85.09248
455.113,16.51,85.77248
455.47,18.9,86.5776
455.827,16.48,87.0128
456.184,17.07,85.79968
456.541,18.73,87.83968
456.898,16.04,88.44896
457.255,16.77,86.67008
457.612,17.64,86.3872
457.969,18.51,88.44896
458.326,18.19,89.62944
458.682,19.38,88.4
459.039,18.51,89.42816
459.396,19.64,88.4544
459.752,19.37,89.0256
460.109,19.14,89.91232
460.465,20.62,88.63392
460.822,18.86,87.38816
461.178,18.93,85.3536
461.535,18.47,84.62464
461.891,19.95,85.13056
462.247,19.05,86.07712
462.604,20.58,87.29024
462.96,18.6,84.24928
463.316,19.61,87.11072
463.672,19.5,86.3056
464.029,19.48,85.85952
464.385,19.38,89.1072
464.741,21.1,86.14784
465.097,20.08,85.272
465.453,19.39,86.20768
465.809,20.57,85.56032
466.165,19.72,86.7136
466.52,19.44,86.77888
466.876,20.68,88.51424
467.232,20.45,89.86336
467.588,20.21,85.99008
467.943,20.39,85.77248
468.299,20.95,85.42432
468.655,19.25,85.58208
469.01,20.13,84.20576
469.366,21.48,86.53408
469.721,21.79,84.19488
470.077,20,86.96928
470.432,21.28,88.19872
470.787,20.62,88.08448
471.143,21.59,88.86784
471.498,22.44,87.90496
471.853,20.77,85.69088
472.208,22.28,88.25312
472.564,22.16,86.63744
472.919,21.41,88.91136
473.274,22.9,86.48512
473.629,23.28,87.55136
473.984,21.8,86.50144
474.339,21.87,86.13152
474.694,23.1,84.82048
475.049,22.34,87.43168
475.403,22.19,86.53408
475.758,22.24,85.44064
476.113,23.56,86.71904
476.468,22.67,88.07904
476.822,21.9,87.8016
477.177,24.24,87.6384
477.532,22.42,87.74176
477.886,22.62,89.68384
478.241,22.14,86.94208
478.595,23.4,88.11712
478.95,22.01,87.15424
479.304,23.46,87.19776
479.658,23.84,85.87584
480.013,22.81,87.3392
480.367,23.03,87.42624
480.721,22.62,88.43808
481.075,22.59,88.00288
481.429,23.71,88.29664
481.784,22.83,86.18048
482.138,23.13,87.23584
482.492,23.77,88.63392
482.846,24.56,90.25504
483.2,23.41,90.83712
483.553,24.39,88.41088
483.907,24.45,85.04352
484.261,24.09,80.00064
484.615,23.77,78.1728
484.969,23.01,79.11392
485.322,21.98,79.06496
485.676,21.38,79.26624
486.03,21.13,81.26272
486.383,22.4,82.7424
486.737,23.44,85.03808
487.09,23.92,87.03456
487.444,23.49,86.10976
487.797,22.67,86.54496
488.15,23.46,85.85408
488.504,23.8,85.36448
488.857,23.38,83.89024
489.21,22.24,82.4704
489.563,22.78,82.57376
489.917,23.2,83.03072
490.27,22.8,83.30272
490.623,22.99,84.66816
490.976,23.37,87.70912
491.329,24.61,87.49696
491.682,24.08,87.312
492.035,23.98,86.88224
492.387,22.75,84.93472
492.74,22.13,83.13952
493.093,22.75,82.144
493.446,21.41,82.12224
493.799,22.28,82.75872
494.151,22.42,81.25184
494.504,23.27,84.48864
494.856,23.51,85.03808
495.209,24.42,85.0544
495.561,23.57,87.24128
495.914,24.5,86.72992
496.266,24.49,86.8224
496.619,23.98,87.44256
496.971,24.47,87.39904
497.323,23.09,84.8096
497.676,22.83,86.80064
498.028,23.53,86.35456
498.38,22.36,85.77792
498.732,22.89,85.35904
499.084,24.16,86.76256
499.436,22.94,85.75072
499.788,24.06,85.91392
500.14,23.81,87.08352
500.492,23.03,84.28192
500.844,22.14,85.48416
501.196,24.18,85.26112
501.547,23.65,84.4016
501.899,23.23,85.3536
502.251,23.09,86.28384
502.603,23.76,87.56768
502.954,23.99,86.53952
503.306,22.75,87.0672
503.657,23.84,84.63552
504.009,23.89,87.11616
504.36,22.89,85.7888
504.712,22.41,87.68192
505.063,23.94,87.25216
505.414,23.54,84.84768
505.766,23.81,84.98368
506.117,23.35,84.2384
506.468,23.27,86.26752
506.819,22.89,85.03808
507.17,22.43,85.4624
507.521,23.39,86.92576
507.873,24.4,86.63744
508.224,23.6,86.72992
508.574,21.94,86.83328
508.925,24,85.9248
509.276,22.75,87.44256
509.627,23.32,87.38816
509.978,21.22,85.93024
510.329,24.17,85.72352
510.679,22.75,85.3808
511.03,20.8,86.84416
511.381,21.79,85.70176
511.731,22.21,86.72448
512.082,22.29,84.31456
512.432,22.47,87.176
512.783,21.7,84.6192
513.133,20.99,85.16864
513.483,20.92,85.8704
513.834,21.18,86.66464
514.184,22.36,86.13696
514.534,21.26,87.44256
514.884,21.88,85.39712
515.235,20.94,85.45696
515.585,21.53,87.02912
515.935,22.3,86.69184
516.285,20.16,86.10976
516.635,21.69,84.54848
516.985,21.76,87.18144
517.335,21.69,87.19776
517.684,21.7,86.7136
518.034,21.32,87.57856
518.384,21.75,87.95936
518.734,21.04,87.59488
519.084,20.31,85.47872
519.433,21.2,84.30368
519.783,21.04,85.35904
520.132,19.86,83.98272
520.482,20.77,84.31456
520.831,19.6,83.42784
521.181,20.42,85.6256
521.53,21.72,85.3264
521.88,20.59,85.82144
522.229,20.55,86.61568
522.578,20.63,87.0128
522.927,20.52,86.15872
523.277,19.83,86.52864
523.626,19.87,86.45248
523.975,21.34,86.16416
524.324,20.54,87.9648
524.673,20.64,86.45248
525.022,21.25,86.75712
525.371,20.16,87.22496
525.72,19.88,88.8624
526.068,21.1,88.44352
526.417,19.84,86.8768
526.766,19.69,85.95744
527.115,19.48,87.02368
527.463,20.58,86.42528
527.812,19.6,87.39904
528.161,19.9,86.90944
528.509,20.49,84.46688
528.858,19.94,79.84832
529.206,19.85,77.45472
529.555,19.77,78.22176
529.903,18.73,79.41856
530.251,17.78,79.74496
530.6,18.38,80.0496
530.948,18.76,80.75136
531.296,17.31,81.8176
531.644,18.85,83.29184
531.992,18.97,83.24288
532.34,18.26,85.4352
532.688,18.02,86.22944
533.036,18.79,87.97024
533.384,19.15,87.44256
533.732,18.48,86.26208
534.08,18.65,84.65184
534.428,18.23,82.75872
534.776,17.41,81.94272
535.123,17.3,82.32896
535.471,17.58,82.416
535.819,17.73,83.71072
536.166,18.81,84.47232
536.514,17.19,86.43616
536.861,18.7,86.29472
537.209,17.95,85.83232
537.556,17.77,87.15424
537.904,16.9,83.50944
538.251,17.79,84.7824
538.598,17.36,83.37344
538.946,17.56,84.92384
539.293,17.42,85.27744
539.64,18.29,85.80512
539.987,17.51,88.128
540.334,17.3,88.74816
540.681,17.5,88.60672
